Код ресурса		Номер	Категория	Значение ресурса
;
;Метки элементов меню
;===========================================
MenuHeaderSeparator		001	1CON	---------------------------------------------------
ChoicePackage			002	1CON	Выберите устанавливаемый пакет программ ({V1} секунд)
ActionDefExit			003	1CON	{V1} - Выход (по умолчанию)
EnterPkgChoice			004	1CON	Введите номер пакета или {V1} для выхода:
ChoiceModule			005	1CON	Выберите устанавливаемый модуль пакета ({V1} секунд)
SetupAllModules			006	1CON	{V1} - Установить все модули
ActionReturnToPkgMenu	007	1CON	{V1} - Возврат в меню пакетов (по умолчанию)
EnterModChoice			008	1CON	Введите номер модуля или {V1} для выхода:
ExecModChoice			009	1CON	Выбор действия для модуля {V1} ({V2} секунд):
RepairModSetup			010	1CON	{V1} - исправить установку
ApplyModConfig			011	1CON	{V1} - применить конфигурацию
BackupRestore			012	1CON	{V1} - резервное копирование\восстановление данных
UninstallMod			013	1CON	{V1} - деинсталлировать
ActionNo				014	1CON	{V1} - ничего не делать (по умолчанию)
ChoiceModExec			015	1CON	Что необходимо сделать
ActionExit				016	1CON	{V1} - Выход
ProcessingSetup			017	1CON	Продолжать установку ({V1} секунд)
UseExistDistrib			018	1CON	Использовать этот дистрибутив ({V1} секунд)
DelExistModSetupDir		019	1CON	Удалить каталог ({V1} секунд)
ProcessingChoice		020	1CON	Продолжить процесс {V2} ({V1} секунд)
ProcessingPhase			021	1CON	Продолжить выполнение фазы {V2} ({V1} секунд)
ProcessingGoal			022	1CON	Продолжить выполнение цели {V2} ({V1} секунд)
ExistModPathEnv			023	1CON	Похоже найден путь к модулю {V1} в переменной окружения {V2}/PATH: {V3}. Удалить ({V4} секунд)
InputBindVarsValues		024	1CON	Для '{V1}' ввести значения переменных 
ChangeModSetupDir		025	1CON	Для модуля {V1} изменить каталог установки {V2} 
ChangeRegKeyValue		026	1CON	Сейчас у ключа реестра {V1}/{V2} значение '{V3}' изменить на '{V4}' 
DelExistRegKeyValue		027	1CON	Удалить ключ реестра {V1}/{V2} со значением '{V3}'
